"natural numbers","natural numbers"
"positive integers","positive integers"
"integers","integers"
"fractions","fractions"
"union","union"
"intersection","intersection"
"difference","difference"
"symmetric difference","symmetric difference"
"complement","complement"
"commutativity","commutativity"
"associativity","associativity"
"distribution","distribution"
"idempotence","idempotence"
"double complementation","double complementation"
"de morgan laws","de morgan laws"
"proof","proof"
"logically equivalent","logically equivalent"
"satisfiable","satisfiable"
